source,final_text,model,dominant_topic,dominant_topic_score
tiktok,bnyk bljar mister kocak,lda,3,0.7329743911758719
tiktok,elu kocak.. kuat bangun pondasinya kuat,lda,3,0.794443384590851
tiktok,"aslinya org tuanya menjaga kesehatan anak nya, anak keturunannya gizinya terpenuhi, pemerintah membuka lapangan pekerja,an luas nya rakyat indonesia tidak nganggur",lda,1,0.49004982451713885
tiktok,wkwk masak layak makanan program posyandu pdhl anggranny cma ribu anak,lda,3,0.6889445846137846
tiktok,"posyandu donatur kadarnya warga. jd kader, jd donatur , uang kasih makanan susu. kl ngandalkan rb tok iya ngk kasih segitu anak nimbang k posyandu",lda,3,0.7604592016826894
tiktok,tumbuh sehat buah kelapa & lele mentah ?,lda,3,0.8981075225021845
tiktok,"iya bagus, program anti kritik yaa beres",lda,4,0.8661983020905665
tiktok,"pengawasane lemah bos,dan sampe diperketat,semisal keracunan,belum satupun dijadikan tersangka,padahal warung catering pelanggane keracunan,siap besok sibuk kantor instansi coklat",lda,3,0.9189274438146701
tiktok,"ngk program instan kyk sulap,contoh bpjs,dulu dikecam, menerima manfaatnya,walau ngk sempurna pastinada celahnya,come on rakyat cerdas,jgn mudah temakan propaganda anjing anjing joshshoros",lda,0,0.937255402390927
tiktok,anggaran triliun makan makan tidak masuk akal,lda,3,0.589024311117291
tiktok,"tidak membhas anggaran ny bhas program beliau pelaksanaan lapangan makan bergizi,itu bnyak sorot aktivis,ibu dn pengamat gizi indonesia.",lda,1,0.6432114771766895
tiktok,anggaran bermasalah anggaran dipotong makan bergizi gratis,lda,3,0.5779795390149568
tiktok,iya berhubungan anggaran dongg jangan pangkas anggaran gr mbg..intinya,lda,0,0.8652277786441439
tiktok,"seprtiny terkena hoaks y,tiap anggaran memiliki post ny masing,terjdiny efisiensi anggaran bukan program makan bergizi gratis ny.,tpi meningkat ny krisis global berdampak ekonomi indonesia.dn beliau tidak program makan bergizi gratis hentikan anak kalangan ekonomi menikmati mbg.dn jujur membantu ekonominya tidak ibu.",lda,2,0.5552837578822387
tiktok,kasi paham kali ni orang,lda,3,0.8372805720480448
tiktok,"betul, negara hutangnya besar. pemimpin berpikir konyol.",lda,0,0.8646218586602131
tiktok,peluang korupsi,lda,4,0.5503386639031098
tiktok,"yap,,bener sekali,program ny bagus sarat berkembang biak ny jamur korupsi terbuka luas,dan mnjdi pr pemerintah mngaudit dapur makan bergizi gratis daerah.",lda,2,0.8182936492033669
tiktok,"tidak bagus, saran saji tidak melibatkan ahli gizi",lda,4,0.6104976842499428
tiktok,menguntungkan cwo nya an nya,lda,3,0.7319222295326884
tiktok,"tidak semua, alhamdulillah aman,",lda,0,0.5485366839276347
tiktok,"tidak semua, % kacau",lda,0,0.7325719667563947
tiktok,makan bergizi gratis program bancakan jd jangan harap stop.,lda,0,0.796808737050491
tiktok,"tujuannya memenuhi gizi,kenapa tidak pilih membutuhkan gizi biar hemat anggaran nya",lda,2,0.68364633514649
tiktok,"saja, anak tdk butuh",lda,2,0.7994119367327768
tiktok,pendapat pakar tidak prnh mendengarkan,lda,3,0.5967335694567456
tiktok,prog bagus kenyataan lapangan bukan gizi diterima makanan krg bagus,lda,1,0.46253816468148934
tiktok,kiaamat makan bergizi gratis jalan proyek,lda,3,0.4049918710638936
tiktok,"periode pak, jangan berharap menang",lda,4,0.6268094491325635
tiktok,"anehnya makan bergizi gratis distop dicap negatif, membantu pemerintah efisiensi",lda,1,0.6928117312908425
tiktok,bpjs dihapus makan bergizi gratis gimana,lda,4,0.3992825807050473
tiktok,"berbahaya salah benar, berbahaya",lda,0,0.7291663788235068
tiktok,trus ngapain sekolah daring makan bergizi gratis jalan??,lda,2,0.48114144202241865
tiktok,sebutkan program wowo berhasil,lda,0,0.3992740427283401
tiktok,ganti presiden,lda,4,0.799461983422482
tiktok,"turunin gengsinya pak, coba dialokasikan memperbaiki program"" berjalan",lda,1,0.794928712189433
tiktok,periode,lda,4,0.5999989115561176
tiktok,apaan. udah males,lda,3,0.7324497000023983
tiktok,tidak diperpanjang makan bergizi gratis,lda,0,0.2
tiktok,"bosen makan kacang polong makan kacang tanah cuman biji,trus roti nya kue kukus ,buah buahan nya satu, kadang busuk kadang mentah",lda,3,0.9424520621545303
tiktok,"bapak, niatnya baik. lihat kondisi lapangan.",lda,3,0.43927365663925744
tiktok,asli otak tidak nyambung,lda,0,0.45967589129370906
tiktok,makan bergizi gratis tdk sesuai,lda,3,0.5970551435147323
tiktok,wes periode,lda,4,0.40026127714825505
tiktok,jangan memberhentikan makan bergizi gratis mengevaluasi mengaudit tidak mau.,lda,4,0.5929036252665827
tiktok,iya allah tolong hentikan makan bergizi gratis,lda,4,0.7994674778029367
tiktok,mungkin pikiranmu pendek.. dimana pemimpin fikirannya kedepan,lda,4,0.8376221677786052
tiktok,bentar kitim makan bergizi gratis biar otaknya bener,lda,4,0.5968203351930901
tiktok,bukan solusi proyek kampanye,lda,1,0.5008009327212753
tiktok,program baik tujuan baik bela,lda,1,0.8397235617807817
tiktok,y soale kelola makan bergizi gratis pejabat .jd kaya pejabatnya .orang susah ntuk cari makan .,lda,3,0.6694211848905748
tiktok,"benar sekali, keras kepala",lda,4,0.5336210341179346
tiktok,presiden baik mendengar rakyat nya bukan keras kepala,lda,0,0.41089986474808565
tiktok,bener sekali@,lda,2,0.5999938950185689
tiktok,tidak mungkin dengar rakyat pikirannya kurang. ambil resiko,lda,0,0.4400855663938654
tiktok,lembek tape y om hehe,lda,4,0.599991537713785
tiktok,"anti kritik,dan tidak mauk salahkan",lda,4,0.6399950659055686
tiktok,maklum dah tua ditambah didikan diktator,lda,1,0.7329545070091498
tiktok,namax kepala batu,lda,4,0.7333314888022363
tiktok,npd akut asli iya,lda,3,0.5964065735232478
tiktok,wkwk ngiggo kak omngan a-z isinya ngeluarin sampah,lda,0,0.7326056766372233
tiktok,fikirkan manfaatnya. jikapun korupsi mudah lacak ketidak sesuain mencolok,lda,0,0.5486518015694053
tiktok,anak penerima makan bergizi gratis. sorry ye,lda,1,0.7286489954172481
tiktok,omong kosong 🤣🤣,lda,1,0.7333256194764561
tiktok,"iya tidak tau duit gede loh tidak kepikiran, pengawasannya tidak ketat",lda,3,0.8385260332431542
tiktok,sekolah online makan bergizi gratis ttp offline,lda,3,0.5525781020993572
tiktok,kpn dring,lda,0,0.2
tiktok,"tau kak april , tunggu gebrakan lucu² pemerintah skrng .",lda,3,0.7988431601840512
tiktok,trua makan bergizi gratis d ambil sekolah kah?,lda,2,0.8395948843873047
tiktok,makan bergizi gratis menguras bahan bakar minyak krena kerja seminggu full,lda,1,0.9109493493750002
tiktok,"makan bergizi gratis berhenti,trus prabowo kerja apa, diomongin apa,, bahas tau makan bergizi gratis",lda,2,0.8987582566929764
tiktok,haha bener,lda,4,0.5999862582583475
tiktok,jangan kerqs keras bang malu warga %,lda,0,0.576231301013608
tiktok,cuci otak nya biar tidak sangka buruk 🤣,lda,4,0.5323454553016537
tiktok,"kelak kau paham perang berlanjut, kau dapur makan..jika sdm paham program beliau arahnya kemana..mau swasembada pangan,energi, makan bergizi gratis perekrutan tni an mengatasi krisis,,di negara kepulauan perang sulit memantaunya..tapi desa dapur, kau tidak kelaparan..belajar iya dek.",lda,2,0.801420874549115
tiktok,"lu buktikah omon"" aje",lda,3,0.7332388382769546
tiktok,"kekeh bangt mbg,lihat iya kampanye capres🤣",lda,1,0.39991701878089453
tiktok,mayan duitnya,lda,4,0.599498188779783
tiktok,la iya ..program kampanye dihentikan tidak mungkin. gas trus sampe uang negara habis,lda,3,0.46681286796511007
tiktok,lu lu,lda,3,0.7331487455195621
tiktok,dapur lu ÿa..jd tidak cuan..bubarin makan bergizi gratis,lda,3,0.7997723631607214
tiktok,mf.. gk mkn hsl menyengsarakan orang,lda,1,0.5999967087450385
tiktok,makan bergizi gratis hak orang miskin stunting. orang tidak malu makan subsidi orang miskin . makan bergizi gratis pengusaha institusi yayasan elit partai makan bergizi gratis kaya raya,lda,2,0.561897671492753
tiktok,in org kerja d makan bergizi gratis trs lngsung d angkt jd p k,lda,1,0.5886264861881627
tiktok,"tpi ebg bnyak korupsi anak,,di ksih mknan tidak layak",lda,4,0.5860714129601531
tiktok,"stop makan bergizi gratis, bikin pjk naik, utang negra nmbh",lda,0,0.8390790177530417
tiktok,"tu lht thun udh defisit triliun,",lda,0,0.639719194614702
tiktok,"lu tidak bayar pajak, tidak tau. bpjs",lda,0,0.8631980537244915
tiktok,"sory yee.. org taat pajak.. gaji lgsg potong, kendaraan stiap bayar.. jd sory yee",lda,0,0.4893882916735839
tiktok,data tuh? negara jual aset prabowo jdi presiden. mantan presiden lu.. sampe jual harga,lda,0,0.5123942980485421
tiktok,anak buah makan bergizi gratis iya.,lda,2,0.7994136374222912
tiktok,tidak. anakku suka,lda,2,0.7327689402445251
tiktok,"anakku suka,sy suka.bersyukur apapun makanannya.",lda,2,0.5926205382015635
tiktok,pengaduan,lda,0,0.2
tiktok,"bermanfaat..sebenar nya biar disekolah anak kya miskin sama, kadang pengelola makan bergizi gratis main curang tdk menyediakan makanan bergizi yh sesuai.",lda,4,0.4309113277682745
tiktok,segi nya tu,lda,3,0.7284026599378244
tiktok,"bermanfaat desa desa pak, contohnya daerah",lda,2,0.885426218273605
tiktok,program paleng ancor makan bergizi gratis,lda,0,0.2
tiktok,nte iya,lda,0,0.2
tiktok,horang iya,lda,0,0.2
tiktok,"nya gratis mulu ,skrng udah sklh gratisin contoh nya sr(sekolah rakyat) prabowo udah sklh trsbt baca news jangan adu domba",lda,3,0.8390995794791501
tiktok,negeri bukanny ud gratis sd-sma iya,lda,0,0.7990408378148889
tiktok,"kuliah mahal tsaayy, kecuali tipe ”ngapain sekolah tinggi”",lda,3,0.5923862223616989
tiktok,sekolah negri byk jam kosong sekolah negri zaman tidak spwrti sekolah negri zaman bagus pendidikannya,lda,2,0.8323102607575505
tiktok,"ditempatku sekolah gratis, sd, sma,smk sekolah gratis, jateng seragam buku pelajaran gratis, spp gratis, alhamdulillah makan siang gratis",lda,2,0.479823765338845
tiktok,"pendidikan udah grastis bosku ,",lda,3,0.7322275866935503
tiktok,penghamba anoes,lda,0,0.2
tiktok,"kuliah gratis semua, coba kuliah gratis pendidikan rakyat indo",lda,0,0.48429455470864324
tiktok,kl pinter kuliah gratis,lda,3,0.4590838915192979
tiktok,siapa? buktinya mungut spp. dapur berapa?,lda,2,0.7966205895666478
tiktok,pendidikan udah gratis lol,lda,3,0.7322275866935503
tiktok,"kelamaan, maksimal",lda,0,0.2
tiktok,benar maks th,lda,0,0.7328115550290174
tiktok,dih ngatur?!,lda,3,0.5999844510050647
tiktok,lu ?,lda,3,0.5996811584100911
tiktok,oh lu makar taun ? lengserin iya .. modal lu ?,lda,3,0.6400866410220531
tiktok,tidak wan.,lda,0,0.2
tiktok,periode,lda,4,0.5999989115561176
tiktok,"makan bergizi gratis proyek priode, keuntungan makan bergizi gratis pejabat dukung dia, kecuali revolusi mh",lda,0,0.5316100074255882
tiktok,bsk,lda,0,0.2
tiktok,kl secepatnya,lda,3,0.5939370563618824
tiktok,prabowo,lda,2,0.595268888750531
tiktok,kudeta langsung kak,lda,3,0.5997662877528573
tiktok,lanjutkan prabowo periode 🩵,lda,1,0.39686539530615184
tiktok,periode beliau tiada,lda,4,0.4000295310567834
tiktok,makan bergizi gratis membutuhkan masarakat,lda,2,0.5998645882969723
tiktok,iya butuh kerjaan gajih iya nama relawan,lda,0,0.7985078354899152
tiktok,kirim makan bergizi gratis biar cerdas,lda,4,0.7982843017214452
tiktok,pendidikan kesehatan udah gratis tidak,lda,1,0.5386918065670578
tiktok,sekolah lpdp,lda,2,0.5969826190388656
tiktok,"pendidikan kesehatan gratis wajib belajar jaman sby berlaku,bpjs udh d subsidi pemerintah",lda,1,0.924727078821103
tiktok,bayar dimana gratis nya .,lda,0,0.7309622609539415
tiktok,"maunya gratis,pengennya dapet pkh dapet kip makan bergizi gratis pengennya diuangkan..pemikiran orang zaman sekarang,kalo pengen disuapin majunya..sekolah gratis sma beli seragam sepatu atk ditanggung pemerintah semua,kesehatan bpjs tinggal tidak ngurusinnya..kita hidup berjuang jangan nyalahin pemerintah.",lda,2,0.37480140544809115
tiktok,gratis sd - smu negeri coba pinete dikit,lda,0,0.7974437459351219
tiktok,"spp bulanan gratis , uang masuk gratis ,lks gratis gratis . mata mu gratis",lda,2,0.37819562361824505
tiktok,lahh sekolah negeri gratis kocak cari negeri nilai anak tidak iya masuk swasta bayar,lda,2,0.6155094057564499
tiktok,"orang orang tidak makanana gimna pak, tidak orang makanan",lda,2,0.594605626287716
tiktok,oh iya. coba fikirkan ketikanmu,lda,3,0.7321179536997717
tiktok,tidak dikritik tiktok tidak,lda,0,0.5960348837185401
tiktok,iya bu makan bergizi gratis bagus.. tpi fakta lapangan memanfaatkan makanan mubadzir,lda,1,0.9097237670882025
tiktok,tugas sbg rakyat melaporkan tdk amanah. biar ditindak,lda,4,0.5107153574394795
tiktok,laporkan bu.,lda,1,0.7289976135346977
tiktok,"udah dilaporin, udah sampe ajuin sidang mahkamah konstitusi, besok komen jangan suruh laporin iya, udah lapor",lda,3,0.9189005939782634
tiktok,"bagus, bu. biar makan bergizi gratis diawasi, bermanfaat bagj anak indonesia.",lda,1,0.47284662383357423
tiktok,"oknum, d sppg nya amanah koq",lda,1,0.5398728283936358
tiktok,"gw % berharap makan bergizi gratis diperluas juta penduduk x sehari, tidak peduli anggaran pendapatan belanja negara defisit kek, utang segunung kek, dikorupsi kek, gw keyang tidak ribet ribet kerja",lda,0,0.4957412139490312
tiktok,amanah gimana kak ?,lda,4,0.732703651692464
tiktok,merata ngasih nya tidak pilihin deket rt doang,lda,0,0.531636271467974
tiktok,"roti pisang biji,betul merata",lda,3,0.6243377540320778
tiktok,negeri tidak,lda,2,0.5976542290235235
tiktok,tidak lihat komentar kdm ahok,lda,3,0.3998295351380854
tiktok,oknum ny,lda,2,0.4000057235946962
tiktok,"iya ortunya tidak kasih makanan bergizi, kasih makan bergizi gratis, orang tuanya mampu? ngapain dikasih?",lda,3,0.9093919142602646
tiktok,"ditempatku amanah bu,tapi ank bosan,kadang suami bilang,siswanya ambil buahnya doang,nasinya tidak dimkn",lda,2,0.4340439704769167
tiktok,yha udah tanggung defisit anggaran,lda,0,0.40640911083379605
tiktok,pekerja sppg iya,lda,0,0.7314346572358013
tiktok,"bu evaluasi.. membutuhkan. sklh elit makan bergizi gratis, makan bergizi gratis bawa bekalnya enak ..",lda,4,0.5931558480790842
tiktok,"guru cari kerja mencerdas anak bangsa ??anak loe mencerdas kan,skr kerja ijazah ,parah loe.guru bertahan syukur alhamdulilah",lda,1,0.5513645717219078
tiktok,"jngkan gaji guru, gaji asn,tpp asn lambat, jng salahkan pusat, salahkan dlu daerahx",lda,3,0.9109742223679306
tiktok,"kebijakan pusat lol,",lda,3,0.39999883506861694
tiktok,"tak tidak dana hak daerah dana transfer daerah disunat ugal ugal pusat membiayai makan bergizi gratis ini, daerah membayar tpp asn layak, pembangunan tdk berjalan",lda,2,0.450106982326764
tiktok,janji allah swt pasti🥰🤗,lda,4,0.7324622290320036
tiktok,jurusan keguruan bu ? terpaksa guru daftar kerja gadapet ?,lda,2,0.4696381786836472
tiktok,guru honorer tugas wewenangnya d pemerintah daerah,lda,3,0.5936656374678753
tiktok,pemerintah pusat ambil alih pusat,lda,3,0.8386903880622908
tiktok,guru kreatif itu. haha jaman gua sekolah guru bukan l warung kok. nambahin uang gaji ente diatur prabowo presiden. presiden nya tidak menagih kesana?,lda,3,0.6511760432941971
tiktok,guru ngaji kampung tidak gajih pemerintah🤭 gk ad uang sampingan pmerintah🤭,lda,1,0.49561108237925244
tiktok,suruh guru,lda,3,0.7274802383699902
tiktok,niatnya mengabdi sukwan iya dikasihani?? tes mbak usahakan lolos,lda,3,0.7333276634666949
tiktok,semoga rejekinya dilancarkan,lda,1,0.5991250366487706
tiktok,"makan bergizi gratis progam p prabowo ,jdi makan bergizi gratis bubarin brti progam prabowo gagal pikirannya mkanya tidak trima kritikan",lda,3,0.8964999195857061
tiktok,makan bergizi gratis sumber dana apbn.pajak pendidikan kesetahan bukan dana sitaan korupsi koruptor..,lda,4,0.40159035595674136
tiktok,dapur,lda,3,0.5986089225717216
tiktok,biar pilih bang,lda,4,0.7991921797797992
tiktok,tidak nyampe,lda,3,0.5999934154864837
tiktok,politik balas jasa kak,lda,4,0.5990903150473418
tiktok,ajang korupsi aman,lda,4,0.8398163025042042
tiktok,tanda terima kasih timses,lda,1,0.5993847288058712
tiktok,menciptakan team donatur pilpres 🤣🤣,lda,1,0.7322555773557595
tiktok,masuk akal sih.. anak kelas makan bergizi gratis thn hak nyoblos. anak sma nya. potensi tambahan suara semua. indonesia..,lda,0,0.5416497521247949
tiktok,"menurutku persiapan beliau mencalonkan , nti sppg diwajibkan menyetor biaya kampanye",lda,1,0.8357962129902563
tiktok,"mungkin cuman satunya program udah terlanjur jalan mesti bertahan periode, biar harpan kali",lda,3,0.5802470129513254
tiktok,mslhnya nggk bkln dengar,lda,0,0.7277898282121154
tiktok,suru voting yu pa presiden makan bergizi gratis stop tidak,lda,4,0.5957363832665641
tiktok,takut jokowi,lda,0,0.7319585282861695
tiktok,enak posisi,lda,2,0.5975628746733964
tiktok,alhamdullilah tidak milih,lda,0,0.5999983805984229
tiktok,"tidak papa bang wajar negara demokrasi, milih hak nyuruh mundur jabatan",lda,0,0.8994558054594205
tiktok,mundur rakyat indo bru indo,lda,0,0.8399096766649187
tiktok,"bangett, berdosa",lda,0,0.2
tiktok,menyelamatkan bangsa memilih prabowo subianto. catat itu.. !,lda,1,0.6915817817811841
tiktok,asli memilih anis,lda,3,0.7987298233235665
tiktok,tinggal menunggu sadar bikin kebijakan tidak berpihak kpd masyarakat,lda,1,0.7420016193331307
tiktok,lumbung korup,lda,4,0.5999976827815432
tiktok,"lumayan duit , t hilang persen , t masuk dana ,menyambut",lda,3,0.8389814712171559
tiktok,kupingnya lebarin biar dengar beliau ngomong,lda,2,0.3437949251198765
tiktok,seragamnya tidak kampanye,lda,1,0.5999942734320437
tiktok,iyaa pas aja..tapi kurang..,lda,1,0.7300394078671417
tiktok,"yaudah tau amburadul distop lah, benerin sistemnya, banyakin uangnya",lda,3,0.7983286390302045
tiktok,"masyarakat menghentikan makan bergizi gratis, masyarakat / % ngomong gtu",lda,1,0.5746872284799369
tiktok,doa panjatkan,lda,0,0.5999910329404158
tiktok,kecewa,lda,0,0.5999940277214876
tiktok,pengrajin terbantukan program plus menambah tenaga kerja otomatis mengurangi pengangguran +,lda,2,0.8853082501350377
tiktok,ciri orng blok y gtu anti nasihat anti masukan,lda,4,0.64026984924266
tiktok,masyarakat siapa?,lda,2,0.7305318032896773
tiktok,"bener , coba anak anak sekolah tidak dihentikan",lda,2,0.622169428576341
tiktok,pendukungnya susah diksh tau. logikanya tumpul cuan,lda,3,0.7325017688752185
tiktok,orang jawa bilang dedel tu prabowo bilangin tidak trima,lda,2,0.7975873649811687
tiktok,maklumlah mungkin tehin distop. mendengar kebaikan.,lda,2,0.6392706432102891
tiktok,pengkritik tidak job,lda,0,0.2
tiktok,"presiden niatnya baik kebaikan presiden manfaatkan pejabat berkedok pemilik dapur makan bergizi gratis licik nama org layar petinggi""daerah bermain..tolong evaluasi presiden",lda,4,0.4735357266747595
tiktok,tidak celah korupsinya bg 🤣,lda,4,0.7985105253289019
tiktok,sekolah elite dapet lohh,lda,2,0.7325278401201586
tiktok,ngira makan bergizi gratis sekolah inpress terpencil begitu. gataunya sekolah dapet. anak org dapet. sekolah swasta spp nya mahal dapet,lda,2,0.9458683854291737
tiktok,"ih bener kak. murid les skolah d swasta. kaget denger dpet makan bergizi gratis. d swasta, berbayar tidak mahal bisa??",lda,2,0.8984639231403604
tiktok,"mangkanya baca berita,itu makan anak indonesia.kan tidak atur anak org kaya ga.intinya anak",lda,1,0.6431400171920973
tiktok,iya tidak ptg. emge org kaya butuh makan bergizi gratis pemerintah apa. pdhl org kya udh beli makanan lebh bergizi makan bergizi gratis,lda,3,0.5426170689508388
tiktok,iya makan bergizi gratis tidak anak. biaya makan bergizi gratis besar.,lda,3,0.5208272051278743
tiktok,q bgtu,lda,0,0.2
tiktok,"fyi iya, tidak sekolah makan bergizi gratis, pemerintah nawarin skolah sekolah iya makan bergizi gratis sekolah nolak iya brrti tidak dapat, guru sekolah d tawarin jga btw gk ambil krna ngerasa sekolah swasta ortu” mending d sekolah siswanya menguntungkan sarana penunjang pembljran tv sekolah ttp",lda,2,0.5817427311526514
tiktok,"aneh nya, tujuan menghindari stanting",lda,2,0.5722427662701561
tiktok,"tidak anak sekolah.balita,lansia,ibu hamil",lda,2,0.8663707656616557
tiktok,setuju daerah t dihentikan mbgnya,lda,3,0.6397701071187777
tiktok,tidak membutuhkan tau tetanggamu saudara kandungmu membutuhkan makan bergizi gratis anaknya ? jangan egois,lda,2,0.4863448390363557
tiktok,"nah, setuju",lda,3,0.5999103786397599
tiktok,proyek mencerdaskan anak bangsa tidak putus. jangan indonesia isi orang² bodo,lda,1,0.7034561642456783
tiktok,satunya jalan..komite sekolah melarang ank nya ambil mbg..pulangkan sj..,lda,2,0.6314041924221452
tiktok,gagal gmn bro indonesia perinkat dunia makanan gratis anak anak,lda,2,0.821489512525763
tiktok,mbak ninggar satire iya,lda,3,0.5999870695798509
tiktok,gagalnya dimana?.. janji kampanye sebentar terealisasi janjinya tepati. mungkin janji makan bergizi gratis tidak tepati teriak apa?.,lda,4,0.7081522301464072
tiktok,periode setuju.. beliau wafat,lda,1,0.3067227387660657
tiktok,oh iya mending anis ajah iya jd pleciden,lda,3,0.6403091350690906
tiktok,bner banget🥺,lda,4,0.730474919029855
tiktok,kawal tidak sesuai..,lda,1,0.7302963256051199
tiktok,pp,lda,0,0.2
tiktok,"anakq sd kls badan berat kg, gemoy tdk butuh 🤭",lda,2,0.3764208383363888
tiktok,"tidak diambil bu,kasih orang membutuhkan!",lda,2,0.8371414642125018
tiktok,"bilang kepala sekolah tidak butuh makan bergizi gratis , biar siswa . ora ngurusi wongan ruwet tur angel",lda,2,0.5502162256082748
tiktok,gk butuh ..tapi orang gk terbantu makan bergizi gratis bu,lda,2,0.8392255749193518
